"precipitacao","evaporacao_potencial","vazao_observada"
1991-10-01,0.000,5.073,2.662
1991-10-02,0.000,4.629,2.768
1991-10-03,0.000,4.717,2.662
1991-10-04,0.000,4.734,2.559
1991-10-05,0.000,4.136,2.559
1991-10-06,0.000,4.610,2.559
1991-10-07,0.085,4.938,2.559
1991-10-08,1.143,4.861,2.559
1991-10-09,0.049,4.597,2.458
1991-10-10,0.207,4.474,2.360
1991-10-11,0.000,3.339,2.360
1991-10-12,0.196,4.700,2.877
1991-10-13,1.479,4.311,2.768
1991-10-14,1.080,4.517,2.662
1991-10-15,0.044,4.765,2.559
1991-10-16,0.029,4.620,2.559
1991-10-17,0.000,4.910,2.559
1991-10-18,0.193,5.085,2.559
1991-10-19,0.080,4.681,2.264
1991-10-20,0.123,4.738,2.360
1991-10-21,1.670,5.085,2.360
1991-10-22,0.359,4.124,2.360
1991-10-23,0.026,4.887,2.264
1991-10-24,0.205,4.491,2.171
1991-10-25,0.217,4.469,2.171
1991-10-26,0.057,4.848,2.360
1991-10-27,0.000,4.276,2.264
1991-10-28,0.021,4.335,2.171
1991-10-29,0.094,4.608,2.360
1991-10-30,0.000,4.920,2.171
1991-10-31,0.000,4.533,2.264
1991-11-01,0.000,5.023,2.171
1991-11-02,0.000,4.947,2.264
1991-11-03,0.000,4.819,2.360
1991-11-04,1.382,4.774,2.360
1991-11-05,0.000,5.586,2.171
1991-11-06,0.028,5.722,2.360
1991-11-07,0.000,5.614,2.171
1991-11-08,0.000,5.674,2.079
1991-11-09,1.541,5.581,1.991
1991-11-10,0.000,5.323,1.905
1991-11-11,2.376,4.905,1.821
1991-11-12,0.000,4.575,1.905
1991-11-13,0.000,4.879,1.905
1991-11-14,1.903,4.331,1.905
1991-11-15,0.032,4.215,1.905
1991-11-16,0.000,4.897,2.171
1991-11-17,1.283,5.059,2.264
1991-11-18,4.973,3.929,2.079
1991-11-19,7.631,3.682,3.218
1991-11-20,12.991,4.264,10.741
1991-11-21,1.976,5.125,7.637
1991-11-22,3.983,3.525,4.674
1991-11-23,1.448,3.536,4.384
1991-11-24,2.881,4.441,3.709
1991-11-25,2.513,4.381,2.877
1991-11-26,0.711,5.286,2.559
1991-11-27,0.000,3.952,2.458
1991-11-28,1.310,4.981,2.264
1991-11-29,0.000,4.743,2.264
1991-11-30,0.000,5.168,1.991
1991-12-01,0.000,5.226,1.659
1991-12-02,0.000,4.353,1.582
1991-12-03,0.000,4.421,1.508
1991-12-04,0.000,4.703,1.508
1991-12-05,0.000,4.775,1.435
1991-12-06,0.000,4.317,1.435
1991-12-07,0.000,5.400,1.364
1991-12-08,0.000,5.299,1.364
1991-12-09,0.000,5.315,1.364
1991-12-10,0.000,5.515,1.739
1991-12-11,0.000,5.673,1.659
1991-12-12,0.000,5.730,1.582
1991-12-13,0.000,6.025,1.582
1991-12-14,0.000,5.738,1.582
1991-12-15,0.000,5.538,1.508
1991-12-16,0.000,5.426,1.435
1991-12-17,0.000,5.689,1.296
1991-12-18,0.000,5.739,1.296
1991-12-19,0.000,5.477,1.582
1991-12-20,0.000,5.612,1.508
1991-12-21,0.000,5.777,1.435
1991-12-22,0.000,5.676,1.582
1991-12-23,0.000,5.764,1.364
1991-12-24,0.000,5.454,1.582
1991-12-25,0.000,5.394,1.508
1991-12-26,0.000,5.585,1.364
1991-12-27,0.000,5.697,1.435
